记录号:	题名责任者项	出版发行项
820	最新海外武功丛书 [专著]	"长沙 : 湖南科学技术出版社, 2006-"
821	李雅轩杨氏太极拳系列丛书 [专著]	"北京 : 人民体育出版社, 2006-"
823	武术养生丛书 [专著]	"太原 : 山西科学技术出版社, 2006-"
16	中华传统武术的现代化形塑 [海外中文图书] : 以台湾创意武术经营策略研究为例 / 戴旭志著	"台北 : 国立编译馆, [2010](中华民国九十九年)"
21	少林伸展呼吸健康大法 [海外中文图书] : 拉筋运动呼吸功法祛病穴道 : 简易版 / 林胜杰(延胜)著	"台北 : 采实文化事业有限公司, [2010](99年)"
89	少林武当考 [专著] 太极拳与内家拳 内家拳 / 唐豪著	"太原 : 山西科学技术出版社, 2008"
10	中国传统体育文化丛书 [专著]	"北京 : 首都师范大学出版社, 2006-"
23	梅山武学 [专著]	"北京 : 群言出版社, 2015"
71	杨氏八十五式太极拳 [专著]	"上海 : 中西书局, 2015"
175	行健斋随笔 [海外中文图书] 唐豪太极少林考 / 唐豪著	"台北 : 大展出版社有限公司, 2014(民103年)"
221	民国国术期刊文献集成. 第十四卷 [专著]	"北京 : 中国书店, 2014"
222	民国国术期刊文献集成. 第十一卷 [专著]	"北京 : 中国书店, 2014"
223	民国国术期刊文献集成. 第六卷 [专著]	"北京 : 中国书店, 2014"
224	民国国术期刊文献集成. 第五卷 [专著]	"北京 : 中国书店, 2014"
225	民国国术期刊文献集成. 第四卷 [专著]	"北京 : 中国书店, 2014"
226	民国国术期刊文献集成. 第十二卷 [专著]	"北京 : 中国书店, 2014"
227	民国国术期刊文献集成. 第三卷 [专著]	"北京 : 中国书店, 2014"
228	民国国术期刊文献集成. 第二卷 [专著]	"北京 : 中国书店, 2014"
229	民国国术期刊文献集成. 第二十四卷 [专著]	"北京 : 中国书店, 2014"
230	民国国术期刊文献集成. 第十三卷 [专著]	"北京 : 中国书店, 2014"
231	民国国术期刊文献集成. 第一卷 [专著]	"北京 : 中国书店, 2014"
233	民国国术期刊文献集成. 第十九卷 [专著]	"北京 : 中国书店, 2014"
234	民国国术期刊文献集成. 第二十五卷 [专著]	"北京 : 中国书店, 2014"
235	民国国术期刊文献集成. 第二十卷 [专著]	"北京 : 中国书店, 2014"
236	民国国术期刊文献集成. 第二十七卷 [专著]	"北京 : 中国书店, 2014"
237	民国国术期刊文献集成. 第二十一卷 [专著]	"北京 : 中国书店, 2014"
238	民国国术期刊文献集成. 第二十三卷 [专著]	"北京 : 中国书店, 2014"
239	民国国术期刊文献集成. 第二十八卷 [专著]	"北京 : 中国书店, 2014"
240	民国国术期刊文献集成. 第二十六卷 [专著]	"北京 : 中国书店, 2014"
241	民国国术期刊文献集成. 第二十二卷 [专著]	"北京 : 中国书店, 2014"
242	民国国术期刊文献集成. 第二十九卷 [专著]	"北京 : 中国书店, 2014"
243	民国国术期刊文献集成. 第三十卷 [专著]	"北京 : 中国书店, 2014"
244	民国国术期刊文献集成. 第十六卷 [专著]	"北京 : 中国书店, 2014"
245	民国国术期刊文献集成. 第十七卷 [专著]	"北京 : 中国书店, 2014"
246	民国国术期刊文献集成. 第十五卷 [专著]	"北京 : 中国书店, 2014"
247	民国国术期刊文献集成. 第十卷 [专著]	"北京 : 中国书店, 2014"
248	民国国术期刊文献集成. 第九卷 [专著]	"北京 : 中国书店, 2014"
249	民国国术期刊文献集成. 第十八卷 [专著]	"北京 : 中国书店, 2014"
250	民国国术期刊文献集成. 第八卷 [专著]	"北京 : 中国书店, 2014"
251	民国国术期刊文献集成. 第七卷 [专著]	"北京 : 中国书店, 2014"
268	"刘云樵大师全集. 十, 昆吾剑谱 [海外中文图书] / 许秋德编著"	"桃园 : 武学文化出版社, [2014](中华民国103年)"
269	"刘云樵大师全集. 二, 笑尘武集 [海外中文图书] / 许秋德编著"	"桃园 : 武学文化出版社, [2014](中华民国103年)"
270	"刘云樵大师全集. 三, 武道思想 [海外中文图书] / 许秋德编著"	"桃园 : 武学文化出版社, [2014](中华民国103年)"
271	"刘云樵大师全集. 六, 八级登峰 [海外中文图书] / 许秋德编著"	"桃园 : 武学文化出版社, [2014](中华民国103年)"
272	"刘云樵大师全集. 七, 劈掛鹰扬 [海外中文图书] / 许秋德编著"	"桃园 : 武学文化出版社, [2014](中华民国103年)"
273	"刘云樵大师全集. 九, 养生功法 [海外中文图书] / 许秋德编著"	"桃园 : 武学文化出版社, [2014](中华民国103年)"
274	"刘云樵大师全集. 五, 八极登堂 [海外中文图书] / 许秋德编著"	"桃园 : 武学文化出版社, [2014](中华民国103年)"
275	"刘云樵大师全集. 一, 武坛宗师 [海外中文图书] / 许秋德编著"	"桃园 : 武学文化出版社, [2014](中华民国103年)"
276	"刘云樵大师全集. 八, 八卦龙吟 [海外中文图书] / 许秋德编著"	"桃园 : 武学文化出版社, [2014](中华民国103年)"
277	"刘云樵大师全集. 四, 迷踪拳艺 [海外中文图书] / 许秋德编著"	"桃园 : 武学文化出版社, [2014](中华民国103年)"
445	南棍 [专著]	"北京 : 人民体育出版社, 2013"
452	长拳 [专著]	"北京 : 人民体育出版社, 2013"
457	传统太极拳全书 [专著]	"北京 : 人民体育出版社, 2013"
458	传统太极剑全书 [专著]	"北京 : 人民体育出版社, 2013"
522	山东省莱州中华武校史志 [专著] : 1992-2012 / 山东省莱州中华武校史志编纂委员会[编]	"[莱州] : [山东省莱州中华武校史志编纂委员会], [2012]"
547	太极易筋经 [海外中文图书] / 沈茂松撰著	"台北 : 文笙书局股份有限公司, [2012](中华民国一○一年)"
585	技击准绳 [专著] 拳术教科书 / 薛巩初，徐愚忻著 ; 王占伟校点	"太原 : 山西科学技术出版社, 2012"
587	上海体育学院中国武术博物馆馆藏精品图鉴 [专著]	"上海 : 上海教育出版社, 2012"
598	三义刀图说 [专著] 梅花刀 / 金一明[等]著	"太原 : 山西科学技术出版社, 2012"
617	中国民间武术丛书 [专著]	"长沙 : 湖南科学技术出版社, 2012-"
654	太极形意八卦 [海外中文图书] : 孙派三合一内家武学 / 张继炎编撰	"台南县 : 新中兴武学研究馆, [2011](中华民国一〇〇年)"
686	养生太极全图解 [海外中文图书] : 经典拳法108式，体验延年益寿的自疗法！ / 牛西京编著	"新北 : 维他命文化有限公司, [2011]"
85	少林武当考 [海外中文图书] 太极拳与内家拳 内家拳 / 唐豪著	"台北 : 大展出版社有限公司, 2014(民103年)"
123	高手林立的民间武术 [专著]	"长春 : 吉林出版集团有限责任公司, 2014"
191	科学化的国术 [专著] 六路短拳 / 吴志青著	"太原 : 山西科学技术出版社, 2012"
